"book_name","book_price","book_store","book_author"
"【中商原版】无声告白 英文原版 Everything I Never Told You进口小说 纽约时报畅销书 伍绮诗进口原版 扣人心弦 感人至深的温柔小说","¥53.00","中华商务进口图书旗舰店","Celeste Ng"
"【中商原版】东方快车谋杀案 英文原版悬疑小说 英文版 英文原版书 Murder On The Orient Expre悬疑小说 进口原版 国营机构直营","¥35.00","中华商务进口图书旗舰店","阿加莎·克里斯蒂 (Agatha Christie)"
"【中商原版】摆渡人 新版 英文原版小说 Ferryman 英文原版书 心灵治愈系小说 苏格兰图书大奖 获奖小说 Cla进口正版 读者灵魂震颤 人性救赎 温情故事 9781782504344","¥68.00","中华商务进口图书旗舰店","Claire McFall"
"1984 英文版 乔治 奥威尔 一九八四 1984 George Orwell 世界经典名著正版 纽约时报推荐 Tru进口机构直营-世界影响力的反乌托邦、反极权的政治讽喻小说之一被美国《时代》周刊评为1923年至今100本*英文小说之一已译成60多种语言 风靡全球","¥20.00","中华商务进口图书旗舰店","治·奥威尔 (George Orwell"
"【中商原版】远大前程 伟大前程 英文原版小说 Great Expectations 经典名著小说书籍 狄更斯经典名著","¥18.00","中华商务进口图书旗舰店","tanley Weintrau"
"【中商原版】简爱 英文原版 Jane Eyre 夏洛蒂·勃朗特 Charlotte Bronte 英国文学 世界经典名经典名著 纯英文 学单词","¥17.00","中华商务进口图书旗舰店","夏洛蒂·勃朗特 (Charlotte Bronte)"
"【中商原版】石黑一雄 长日留痕 英文原版 Kazuo Ishiguro 2017年诺贝尔文学奖获得者 The Rema","¥80.00","中华商务进口图书旗舰店","Kazuo Ishiguro"
"【中商原版】Me Before You 英文原版小说 正版我就要你好好的 英文版 英文原版书 电影原著小说 遇见你之前新封面 内增续集after you节选内容 畅销小说 温暖励志 爱情电影小说","¥59.00","中华商务进口图书旗舰店","Moyes, Jojo"
"【中商原版】一辈子做女孩 英文原版小说 Eat, Pray, Love 女生必读书 畅销小说女性励志小说 长居销售榜榜首","¥36.00","中华商务进口图书旗舰店","Gilbert, Elizabeth"
"【中商原版】教父 英文原版 The Godfather Mario Puzo Arrow 出版社 是个爷们儿就应该看过被誉为男人的圣经，永恒的黑帮经典著作，被拍成电影后立即获得奥斯卡*电影奖！","¥45.00","中华商务进口图书旗舰店","Mario Puzo"
"福尔摩斯探案全集英文原版小说 The Complete Sherlock Holmes 精品礼盒装亚瑟柯南道尔爵士 (Sir Arthur Conan Doyle)","¥138.00","童趣城原版图书专营店","."
"指环王 英文原版（霍比特人续作）The Lord of the Rings《魔戒》/《指环王》三部曲3本套装【英文原版遥远的中土世界，围绕着拥有黑暗力量的魔戒，中土人民与魔王索伦之间的终极较量","¥115.00","中国学术书店","J. R. R. Tolkien"
"【中商原版】傲慢与偏见 英文原版 Pride and Prejudice Jane Austen 世界名著 经典名著正版品质-简·奥斯汀的代表作，一部描写爱情与婚姻的经典小说，编译版经典读本。","¥18.00","中华商务进口图书旗舰店","简·奥斯汀 (Jane Austen)"
"【中商原版】乱世佳人Gone With The Wind 飘 英文原版小说 经典名著小说书籍 英文原版书 英文版纯正原装进口 进口机构直营-乱世佳人英文原版","¥48.00","中华商务进口图书旗舰店","Margaret Mitchell"
"【中商原版】教父三部曲 英文原版the Godfather/Sicilian/Sicilian3本合集进口机构直营","¥125.00","中华商务进口图书旗舰店","Random House"
"预售【中商原版】傲慢与偏见 英文原版 Pride and Prejudice Jane Austen 简奥斯汀 世界名预计10月底发货 经典名著 进口正版","¥20.00","中华商务进口图书旗舰店","Jane Austen"
"Life of Pi 少年派的奇幻漂流【英文原版 李安导演电影原著小说】","¥40.00","中国学术书店","Martel Yann"
"【中商原版】苏菲的世界 英文原版 Sophie’s World: 20th Anniversary Edition 乔20世纪百部经典著作之一","¥72.00","中华商务进口图书旗舰店","Jostein Gaarder"
"冰与火之歌 英文原版小说 英文版 权力的游戏1-5全集美版盒装 A Song of Ice and Fire 英文原版美国版盒装 进口机构直营-冰与火之歌 英文原版","¥145.64","中国学术书店","George R R Martin"
"【中商原版】英文原版 The Collected Works of Oscar Wilde奥斯卡王尔德全集","¥113.00","中华商务进口图书旗舰店","奥斯卡?王尔德 (Oscar Wilde)"
"小王子英文原版 The Little Prince （此本是麦克米伦（英国）出版的经典版，无彩印黑白插图）","¥28.00","童趣城原版图书专营店","Antoine De Saint-Exupery"
"【中商原版】福尔摩斯探案全集 英文版 神探夏洛克 原版精装The Complete Sherlock Holmes 布进口机构直营 正版畅销","¥198.00","中华商务进口图书旗舰店","James, P.D."
"冰与火之歌全集 英文原版小说 权力的游戏 赠送地图 英文版 英文原版 A Song of Ice and Fire正版赠送地图 正版超经典7本全套冰火，乔治 R.R.马丁，全球销量超过千万","¥285.00","中国学术书店","George R. R. Martin"
"莎士比亚全集 英文原版 Complete Works William Shakespeare 皮革收藏版","¥165.00","童趣城原版图书专营店","William Shakespeare"
"英文原版 And Then There Were None 无人生还 阿加莎 75周年纪念版","¥28.00","上海外文书店旗舰店","Agatha Christie"
"【中商原版】大地 赛珍珠 英文原版书 the good earth 英文版进口小说 英语经典文学 诺贝尔获奖著作 Pe","¥48.00","中华商务进口图书旗舰店","Buck, Pearl S."
"公正:该如何做是好? 英文原版 Justice: the Right Thing to do 迈克尔桑德尔公开课 Mi","¥89.00","中华商务进口图书旗舰店","Michael J.Sandel"
"【中商原版】傲慢与偏见 英文原版 Pride and Prejudice 傲慢与偏见 简奥斯汀 英文版 英文原版书 世一部描写爱情与婚姻的经典小说","¥15.00","中华商务进口图书旗舰店","Austen, Jane"
"The Iliad The Odyssey 英文原版 荷马史诗 伊利亚特 奥德赛 2本合一精品礼盒装","¥128.40","童趣城原版图书专营店","Homer"
"【中商原版】高兴死了 英文原版畅销书籍Furiously Happy Jenny Lawson珍妮罗森著 焦虑症抑郁症","¥73.00","中华商务进口图书旗舰店","Jenny Lawson"
"【中商原版】[英文原版]Pride and Prejudice 傲慢与偏见复古经典奥斯汀系列","¥55.00","中华商务进口图书旗舰店","Smith, Alexander McCall"
"【中商原版】奇迹男孩（电影版）英文原版 Wonder (Film Tie-in) R J Palacio 帕拉秋 电影一个关于奇迹的故事！","¥55.00","中华商务进口图书旗舰店","R J Palacio"
"公正 英文原版 Justice: What’s the Right Thing to Do? 公正:该如何做是好?迈克哈佛大学公开课程 用轻松自如的写作风格引导你审视既定的观念和思维方式","¥91.00","中华商务进口图书旗舰店","Michael Sandel"
"Verbal Advantage 英文原版 言语优势 gre英语词汇写作工具书 SAT GMAT 英文版 进口出国考试SAT GRE GMAT 高级英语单词书 “购书后关注微信公众号：HuayanEnglish 获取音频”","¥89.00","华研外语旗舰店","Charles Harrington Elster"
"神奇动物在哪里（插图版）英文原版 Fantastic Beasts and Where to Find Them Il大开本彩绘插图版神奇动物在哪里","¥213.00","中华商务进口图书旗舰店","J.K. Rowling"
"【中商原版】本杰明.富兰克林的自传和其他著作 英文原版 Signet Classics: The Autobiogra本杰明.富兰克林的自传和其他著作 英文原版","¥21.00","中华商务进口图书旗舰店","Benjamin Franklin"
"华研原版 麦田里的守望者英文原版书 The Catcher in the Rye 塞林格 外国文学小说世界名著经典读物美国课外读物 经典世界名著 32开","¥55.00","华研外语旗舰店","J. D. Salinger"
"预售【中商原版】柯林斯经典文学：到灯塔去 英文原版 To the Lighthouse (Collins Classi预计11月中旬发货 弗吉尼亚·伍尔芙 意识流自传体 小说 英国文学","¥22.00","中华商务进口图书旗舰店","Virginia Woolf"
"【中商原版】爱玛 简奥斯汀 英文原版 Emma Jane Austen 外国外经典名著","¥32.00","中华商务进口图书旗舰店","简·奥斯汀 (Jane Austen)"
"【中商原版】一个人的朝圣 英文原版英文版The Unlikely Pilgrimage of Harold Fry原装正版2013欧洲首席畅销小说，抚慰36国，台湾读者深夜落泪捧读。这一年，我们都需要他安静而勇敢的陪伴","¥59.00","中华商务进口图书旗舰店","Joyce, Rachel"
"英文原版 万物简史 A Short History of Nearly Everything","¥55.00","北京市图书进出口有限公司（bpiec）旗舰店","暂无作者信息"
"【中商原版】英文原版 The Communist Manifesto共产党宣言","¥32.00","中华商务进口图书旗舰店","Karl Marx等著"
"【中商原版】基督山伯爵英文原版小说英文版正版The Count of Monte Cristo 世界经典文学名著名书","¥30.00","中华商务进口图书旗舰店","Alexandre Dumas"
"英文原版 四季包含肖申克的救赎 Different Seasons","¥50.00","北京市图书进出口有限公司（bpiec）旗舰店","Stephen King"
"Little House 草原上的小木屋故事系列全集 英文原版 9本全套装 纽伯瑞儿童文学奖作品大森林里的小木屋/农庄男孩/草原上的小木屋/梅溪河岸/银湖岸边/漫长的冬季/草原小镇/那些金色年华/新婚四年","¥198.00","童趣城原版图书专营店","Laura Ingalls Wilder"
"华研原版 洛丽塔书英文原版小说 Lolita 英文版 电影原著书 正版进口英语书籍影响世界的 百部名著之一 萝莉大叔畸恋 精神学科巨作","¥68.00","华研外语旗舰店","Vladimir Nabokov"
"橘子不是唯一的水果 英文原版 Orangesarenottheonlyfruit","¥90.00","中华商务进口图书旗舰店","Jeanette Winterson"
"【中商原版】夜 英文原版小说 Night 埃利威塞尔Elie Wiese 奥斯维辛回忆 诺贝尔和平奖纯正原装进口 进口机构直营","¥72.00","中华商务进口图书旗舰店","Marion Wiesel"
"【中商原版】洞穴奇案 英文原版 The Case of the Speluncean Explorers: Nine","¥187.00","中华商务进口图书旗舰店","Peter Suber"
"To Kill a Mockingbird 杀死一只知更鸟【英文原版 哈珀李代表作、普利策小说奖、美国文学经典、哈佛蓝","¥42.00","中国学术书店","Harper Lee"
"【中商原版】三体三部曲 英文原版 DARK FOREST 刘慈欣 科幻小说精装 雨果奖三体1-3 刘慈欣 雨果奖 精装","¥501.00","中华商务进口图书旗舰店","Cixin Liu"
"预售【中商原版】珍珠 英文原版 英文小说 The Pearl John Steinbeck 诺贝尔文学奖作家 约翰斯坦10月下旬发货 入选美国中学文学课本","¥75.00","中华商务进口图书旗舰店","Steinbeck, John"
"Beyond Feelings 超越感觉【英文原版】","¥116.41","中国学术书店","Bishnupada Sethi"
"1984 英文原版小说Nineteen Eighty-Four乔治奥威尔企鹅现代经典 反乌托邦政治寓言小说 英文版书籍反乌托邦 政治寓言 传世之作 32开","¥59.00","华研外语旗舰店","George Orwell"
"Fifty Great Short Stories 50篇著名短篇小说精选 英文原版进口书籍 经典五十篇短篇故事书 英经典短篇小说 外国文学 英语口袋书","¥42.00","华研外语旗舰店","Milton Crane"
"【中商原版】大亨小传 The Great Gatsby 港台原版 费兹杰罗 梁文道同款 出版90周年经典重译纪念版正版原版书籍","¥69.00","中华商务进口图书旗舰店","費茲傑羅"
"【中商原版】哈利波特与魔法石 20周年纪念精装版 四册套装 英文原版 Harry Potter Philosopher学院珍藏版魔法石 哈利波特1精装","¥398.00","中华商务进口图书旗舰店","J.K. Rowling"
"【中商原版】新版封面 一只名叫鲍勃的流浪猫 英文原版 流浪猫鲍勃 当bob来敲门 真实故事改编 催泪神剧 A Stre治愈 真实故事改编 励志温暖系小说-无论是一个人，还是一只猫，都享有一份生命的尊严，都饱含对生存的渴望。在这一人一猫笑中带泪的生活片段中，弥漫着关于生命、责任、尊严与幸福的宏大主题","¥53.00","中华商务进口图书旗舰店","James Bowen"
"【中商原版】英文原版 The Selected Poems of Lord Byron拜伦诗集","¥41.00","中华商务进口图书旗舰店","Lord George Gordon Byron"
"【中商原版】霍金 时间简史：从大爆炸到黑洞 英文原版书籍 A Brief History of Time 史蒂芬霍金著新版封面 史蒂芬·霍金科学巨作 宇宙之谜","¥72.00","中华商务进口图书旗舰店","Stephen Hawking"
"【中商原版】Liz Climo暖萌漫画3册套装 英文原版 莉兹克里莫 蠢萌治愈漫画集 你今天真好看+我可以咬一口吗+史火遍全球的治愈系漫画集","¥218.00","中华商务进口图书旗舰店","Liz Climo"
"【中商原版】牛津写作指南 英文原版 The Oxford Essential Guide to Writing Tho","¥48.00","中华商务进口图书旗舰店","Thomas S. Kane"
"【中商原版】金银岛 英文原版小说文学 英文版 英文原版书 Treasure Island Robert Louis S金银岛 英文原版","¥22.00","中华商务进口图书旗舰店","Robert Louis Stevenson"
"【中商原版】最美的100首法语诗歌 法文原版 法国 法文版 Les cent plus beaux poèmes de","¥53.00","中华商务进口图书旗舰店","Jean Orizet"
"【中商原版】少年维特之烦恼 英文原版 The Sorrows of Young Werther 英文原版 歌德","¥30.00","中华商务进口图书旗舰店","utter, Catherin"
"【中商原版】英文原版 Les Miserables 肯特伯维：悲惨世界 软精装","¥115.00","中华商务进口图书旗舰店","Victor Hugo (作者), Isabel F. Hapgood (译者)"
"预售【中商原版】英文原版 畅销小说书籍 Life of Pi 少年派Pi的奇幻漂流预计10月底发货 原装进口 进口机构直营","¥46.00","中华商务进口图书旗舰店","Yann Martel"
"【中商原版】Blink 眨眼之间：不假思索的决断力/决断两秒间 英文原版 引爆点作者马尔科姆·格拉德威尔作品、引援心理誉为“21世纪的彼得德鲁克”的《纽约客》杂志专职作家Malcolm Gladwell(马尔科姆格拉德威尔)力作","¥42.00","中华商务进口图书旗舰店","马尔科姆·格拉德威尔 (Malcolm Gladwell)"
"【中商原版】摆渡人2 重返荒原 英文原版 Trespassers 心灵疗愈现代文学小说 克莱儿麦克福尔 Ferryma","¥64.00","中华商务进口图书旗舰店","Claire McFall"
"华研原版 英剧唐顿庄园剧本全集 英文原版小说 Downton Abbey Script Book 1-3 正版进口英语朱利安费罗斯 内容无删节 附注释 大开本","¥368.00","华研外语旗舰店","Julian Fellowes"
"【中商原版】英文原版 Hercule Poirot 7 book set 阿加莎侦探系列 7本套装（赫尔克里·波洛系列正版现货 礼品书精选 侦探女王","¥268.00","中华商务进口图书旗舰店","Christie, Agatha"
"红字 The Scarlet Letter 英文原版小说英文版 霍桑 英语读物书籍 我的心灵藏书馆 红字英文原著英语小","¥18.00","中华商务进口图书旗舰店","Bantam Classics"
"Thinking, Fast and Slow 思考,快与慢/快思慢想【英文原版 诺贝尔经济学奖得主丹尼尔?卡尼曼作品","¥58.00","中国学术书店","Daniel Kahneman"
"The Gulag Archipelago 1918-1956 Abridged 古拉格群岛【英文原版 索尔仁尼琴杰出","¥105.35","中国学术书店","Aleksandr Solzhenitsyn"
"【中商原版】英文原版 A Tale of Two Cities/双城记/查尔斯·狄更斯/ Signet Classic","¥16.00","中华商务进口图书旗舰店","尔斯·狄更斯 (Charles Dickens"
"【中商原版】基督山伯爵英文原版小说英文版The Count of Monte Cristo 大仲马名著小说 英文原版书世界经典名著 国营机构直营","¥18.00","中华商务进口图书旗舰店","大仲马"
"现货1984 英文原版 乔治奥威尔George Orwell 世界名著","¥29.80","上海外文书店旗舰店","George Orwell"
"华研原版傲慢与偏见英文版原版小说Pride and Prejudice简奥斯汀 英文原版进口英语书籍搭flipped怦奥斯汀代表作 经典名著 含词汇注释 原版进口","¥69.00","华研外语旗舰店","Jane Austen"
"追风筝的人 英文原版小说 The Kite Runner 卡勒德胡赛尼著 英文版正版进口英语畅销书 快乐大本营高圆圆推无删减 轻巧便携 阿富汗 政治史诗","¥85.80","华研外语旗舰店","Khaled Hosseini"
"秘密花园 英文原版文学 英文版 英文原版书 Signet Classics: The Secret Garden Fr秘密花园 英文原版","¥21.00","中华商务进口图书旗舰店","Frances Hodgson Burnett"
"【中商原版 精装】三体 英文原版 刘慈欣 The Three-Body Problem (又译三体问题) 3体 2019780765377067中国科幻银河奖特别奖","¥160.00","中华商务进口图书旗舰店","刘慈欣"
"A Brief History of Time 时间简史：从大爆炸到黑洞【英文原版 霍金作品 科普著作】","¥46.13","中国学术书店","Stephen HAWKING"
"【中商原版】高堡奇人 英文原版 The Man in the High Castle 科幻小说 Philip K. D","¥96.00","中华商务进口图书旗舰店","Philip K. Dick"
"【中商原版】美女与野兽 立体书 英文原版 全彩复刻插图版 迪士尼经典童话 Beauty and the Beast 英全新真人音乐电影即将感人上映","¥168.00","中华商务进口图书旗舰店","Gabrielle-Suzanna Barbot de Villenueve"
"现货 英文原版 夏洛特的网 Charlotte s Web 儿童畅销书 9-12岁 60周年纪念版原版进口 美国纽伯瑞 文学银奖","¥32.80","上海外文书店旗舰店","e white,E. B. White,Kate Dicamillo"
"【中商原版】尼尔盖曼：美国众神 英文原版 American Gods 进口图书 英文原版书 英文书 Neil Gaim","¥48.00","中华商务进口图书旗舰店","Neil Gaiman"
"Justice: What's the Right Thing to Do? 公正：做哪些事是正确的?【英文原版 迈克","¥73.91","中国学术书店","Michael J. Sandel"
"英文原版小说 The Story of Stone Volume 1-5 石头记*红楼梦 Penguin Group超值优惠 进口正版9780140442939-1","¥250.00","中华商务进口图书旗舰店","David Hawkes"
"月亮与六便士 英文原版The Moon and Sixpence 毛姆代表作 英文小说 华研原版英国的莫泊桑 现实主义文学 原版进口","¥124.80","华研外语旗舰店","William Somerset Maugham"
"【中商原版】丰乳肥臀 莫言英文原版小说Big Breasts and Wide Hips 诺贝尔文学奖小说纯正原装进口 进口机构直营 诺贝尔文学奖","¥144.00","中华商务进口图书旗舰店","["
"【中商原版】英文原版 Wonderful Wizard of Oz 柯林斯经典文学：绿野仙踪柯林斯经典文学：绿野仙踪 英文原版","¥21.00","中华商务进口图书旗舰店","L Frank Baum"
"Half Girlfriend【英文原版】 一半的女朋友","¥67.00","中国学术书店","Chetan Bhagat"
"【中商原版】艾利的夸张人生(中文书名：跳跳鱼小姐奇葩日志系列） 英文原版 Hyperbole and a Half比尔·盖茨推荐的暑假必读书籍","¥94.00","中华商务进口图书旗舰店","Alexandra Brosh"
"【中商原版】柯林斯经典文学：环游世界八十天 英文原版 Around the World in Eighty Days","¥21.00","中华商务进口图书旗舰店","Jules Verne"
"【中商原版】怪诞小镇：迪普日记 英文原版 Gravity Falls: Journal 3 Rob Renzetti","¥98.00","中华商务进口图书旗舰店","Rob Renzetti"
"Flipped 怦然心动 英文原版小说 从未忘记你的初恋 电影原著小说 全英文畅销小说 青春小说 正版进口 当代文学","¥35.00","上海外文书店旗舰店","Wendelin Van Draanen"
"【中商原版】英文原版 Paper Towns 纸镇 约翰葛林力 作纽约时报畅销榜第八名世界直营 原装进口 英文正版","¥43.00","中华商务进口图书旗舰店","LeLivros"
"【中商原版】石黑一雄 我辈孤雏 英文原版 When We Were Orphans 2017年诺贝尔文学奖获得者","¥77.00","中华商务进口图书旗舰店","Kazuo Ishiguro"
"英文原版 纳尼亚传奇7本套装 Chronicles of Narnia Movie Tie-in Box Set","¥162.00","北京市图书进出口有限公司（bpiec）旗舰店","暂无作者信息"
"华研原版 怪诞行为学：可预测的非理性 Predictably Irrational 英文原版心理书籍 全英文版进口英语丹艾瑞里 纽约时报 畅销书 梁小民推荐","¥85.00","华研外语旗舰店","Dan Ariely"
"House of Cards 纸牌屋【英文原版 Netflix热播美剧同名原著畅销小说】","¥42.00","中国学术书店","MICHAEL DOBBS"
"【中商原版】世纪三部曲（1-3）三册套装 英文原版 The Century Trilogy 巨人的衰落 畅销小说 经典","¥179.00","中华商务进口图书旗舰店","Ken Follett"
"Animal Farm 动物农场/动物庄园【英文原版 经典作品、乔治奥威尔、反乌托邦、政治寓言】5星级英文学习产品","¥21.00","中国学术书店","乔治·奥威尔 (George Orwell)"
"霍乱时期的爱情 英文原版 Love in the Time of Cholera 全英文版 经典文学小说 诺贝尔文学奖人类有史以来非常伟大的爱情作品","¥59.00","华研外语旗舰店","Gabriel Garcia Marquez"
"【中商原版】被掩埋的巨人 石黑一雄 英文原版 The Buried Giant Knopf Doubleday Kaz2017年诺贝尔文学奖获得者","¥54.00","中华商务进口图书旗舰店","Kazuo Ishiguro"
"英文原版 Death on the Nile 尼罗河惨案 阿加莎侦探系列","¥30.00","上海外文书店旗舰店","Agatha Christie"
"【中商原版】【德文版】格林童话 德文原版 Grimms Marchen Jacob Grimm 经典文学著作 精装","¥150.00","中华商务进口图书旗舰店","Jacob Grimm"
"The Fault In Our Stars 无比美妙的痛苦 星运里的错【英文原版 电影同名小说】","¥44.93","中国学术书店","John Green"
"The Kite Runner 《追风筝的人》英文原版-平装","¥58.92","中国图书进出口（集团）总公司图书旗舰店","Khaled Hosseini"
"【中商原版】神秘岛 英文原版文学 英文版 英文原版书 Signet Classics: The Mysterious神秘岛 英文原版","¥22.00","中华商务进口图书旗舰店","Jules Verne"
"【中商原版】哈利波特与魔法石 20周年纪念平装版 四册套装 英文原版 Harry Potter Philosopher学院珍藏版魔法石 哈利波特1平装","¥258.00","中华商务进口图书旗舰店","J.K. Rowling"
"【中商原版】莎士比亚十四行诗 英文原版文学 英文版 英文原版书 Signet Classics: The Sonnet莎士比亚十四行诗 英文原版","¥21.00","中华商务进口图书旗舰店","William Shakespeare"
"【瑕疵品】Tools of Titans 泰坦巨人们的工具【英文原版 人生与修养 与全球精英的200场对谈】","¥89.00","中国学术书店","Tim Ferriss"
"风格的要素 英文原版 The Elements of Style Illustrated 经典写作文体指南全英文版 G插图版 出国留学用书 经典写作指导书 EB怀特推荐","¥89.00","华研外语旗舰店","William Strunk Jr...."
"英文原版A History of Western Philosophy西方哲学史 罗素经典大作ISBN:9780671201586","¥108.00","北京市图书进出口有限公司（bpiec）旗舰店","暂无作者信息"
"Hercule Poirot: Boxed Set 赫尔克里·波洛系列【英文原版 阿加莎侦探系列 7本套装】","¥163.00","中国学术书店","Agatha Christie"
"【中商原版】吉米.哈利：万物有灵且美 英文原版 散文 All Things Bright and Beautiful邂逅可爱的动物，感受纯真的幽默","¥85.00","中华商务进口图书旗舰店","James Herriot"
"【中商原版】忽然七日 Before I Fall 英文原版 电影原著小说 在我坠落之前 还有机会说再见 重生 劳伦奥利全美青年读物 畅销书籍 青春文学","¥65.00","中华商务进口图书旗舰店","Oliver, Lauren"
"德伯家的苔丝 英文原版小说 Tess of the D’Urbervilles 托马斯哈代世界经典文学名著","¥18.00","中华商务进口图书旗舰店","Thomas Hardy"
"A Street Cat Named Bob 一只叫鲍勃的流浪猫【英文原版 伦敦街猫记 当Bob来敲门 真人真事同名电治愈 真实故事 励志温暖系小说-无论是一个人，还是一只猫，都享有一份生命的尊严，都饱含对生存的渴望。在这一人一猫笑中带泪的生活片段中，弥漫着关于生命、责任、尊严与幸福的宏大主题","¥49.58","中国学术书店","James Bowen"
"英文原版 麦田里的守望者 The Catcher in the Rye","¥41.00","北京市图书进出口有限公司（bpiec）旗舰店","J. D. Salinger"
"【中商原版】英文原版世界经典名著 gone with the wind 飘 乱世佳人精装 玛格丽特·米歇尔","¥146.00","中华商务进口图书旗舰店","Margaret Mitchell"
"Before Sunrise & Before Sunset: Two Screenplays 爱在黎明破晓前+爱在黄","¥64.00","中国学术书店","Richard Linklater"
"英文原版 The Giver 记忆传授人 电影原著畅销小说","¥30.00","上海外文书店旗舰店","Lois Lowry"
"英文原版The Boy in the Striped Pajamas 穿条纹睡衣的男孩","¥40.00","北京市图书进出口有限公司（bpiec）旗舰店","John Boyne"
"【中商原版】霍乱时期的爱情 英文原版 Love in the Time of Cholera 进口图书 英文书 Gab进口机构直营","¥48.00","中华商务进口图书旗舰店","Gabriel Garcia Marquez"
"英文原版 Wheels on the Bus/Does a Kangaroo Have a Mother Too/Ro廖彩杏韵文故事童谣送音频","¥78.00","西文英文亲子绘本馆专营店","Pat Hutchins"
"所有我们看不见的光 英文原版 All the Light We Cannot See 2015年普利策小说奖获奖作品","¥75.00","中国学术书店","Anthony Doerr"
"安妮日记 英文原版进口英语书籍 The Diary of a Young Girl 安妮弗兰克 电影原著经典名著畅销书安妮弗兰克 经典名著 内容无删节 便携本","¥49.00","华研外语旗舰店","Anne Frank"
"【中商原版】天生罪犯：特雷弗·诺亚自传（比尔·盖茨2017荐书）英文原版 Born a Crime Trevor No《纽约时报》2017年度好书 2017年瑟伯美国幽默文学奖得主 从南非贫民窟走向世界舞台的励志传奇 献给天下所有伟大母亲的颂歌","¥70.00","中华商务进口图书旗舰店","Trevor Noah"
"【中商原版】[英文原版]Never Let Me Go 石黑一雄：别让我走 电影小说原著 2017年诺贝尔文学奖获得者","¥45.00","中华商务进口图书旗舰店","Ishiguro Kazuo"
"杀死一只知更鸟 英文原版To Kill a Mockingbird 畅销外文书籍50周年 纪念版 经典原著 畅销外文书","¥58.00","上海外文书店旗舰店","本社"
"华研原版 牧羊少年奇幻之旅 英文原版小说 炼金术士 正版进口书 英语书籍 THE ALCHEMIST 牧羊少年的奇幻之美国大学生阅读书目 追逐梦想故事 小巧便携","¥59.00","华研外语旗舰店","Paulo Coelho"
"Tuesdays with Morrie相约星期二英文版 最后十四堂星期二的课 米奇·阿尔博姆纪实小说 一日重生作者余秋雨推荐 人生必修课 米奇阿尔博姆 心灵对话","¥75.80","华研外语旗舰店","Mitch Albom"
"Who Moved My Cheese 谁动了我的奶酪【英文原版 励志 畅销书 经济管理畅销书 斯宾塞约翰逊 500强","¥29.00","中国学术书店","Johnson"
